Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0176394134348032,-2.22044604925031E-16,0.223393094305927,0,0,0,2977.95974309184,1276.12617007638,-0.00023663061182333,24.4034518650965,2010.57224189183,1.25333356742187E-14,3160.89364460489,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/base_link.STL,,Part16-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_wheel_link,1.06581410364015E-14,7.99360577730113E-15,-0.76097530865572,0,0,0,235.619449019234,14.9225651045515,8.88178419700125E-16,-7.59392548843607E-14,14.9225651045515,-5.59552404411079E-14,20.0276531666349,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/FR_wheel_link.STL,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/FR_wheel_link.STL,,wheel-2,Origin_FR_wheel_joint,Axis_FR_wheel_joint,FR_wheel_joint,revolute,1.4,-0.236524691344278,-0.0250000000000013,-1.57079632679487,-1.21081594575034,0,base_link,0,0,1,10,0.5,-3.14,3.14,,,,,,,,
FL_wheel_link,-9.76996261670138E-15,-2.04281036531029E-14,0.810346676302963,0,0,0,235.619449019234,14.9225651045515,1.33226762955019E-15,-5.99520433297585E-14,14.9225651045515,-1.29674049276218E-13,20.0276531666349,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/FL_wheel_link.STL,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/FL_wheel_link.STL,,wheel-4,Origin_FL_wheel_joint,Axis_FL_wheel_joint,FL_wheel_joint,revolute,1.4,0.187153323697037,-0.0249999999999993,-1.57079632679491,-0.737979962623443,0,base_link,0,0,1,10,0.5,-3.14,3.14,,,,,,,,
BR_wheel_link,-8.43769498715119E-15,1.4432899320127E-15,-0.786060508297315,0,0,0,235.619449019234,14.9225651045515,1.77635683940025E-15,5.6399329650958E-14,14.9225651045515,-1.08801856413265E-14,20.0276531666349,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/BR_wheel_link.STL,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/BR_wheel_link.STL,,wheel-3,Origin_BR_wheel_joint,Axis_BR_wheel_joint,BR_wheel_joint,revolute,-1.4,-0.211439491702686,-0.0250000000000012,1.5707963267949,-0.486234667575469,3.14159265358978,base_link,0,0,1,10,0.5,-3.14,3.14,,,,,,,,
BL_wheel_link,1.99840144432528E-15,7.32747196252603E-15,0.80721715568749,0,0,0,235.619449019234,14.9225651045515,0,1.4210854715202E-14,14.9225651045515,4.52970994047064E-14,20.0276531666349,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/BL_wheel_link.STL,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/BL_wheel_link.STL,,wheel-1,Origin_BL_wheel_joint,Axis_BL_wheel_joint,BL_wheel_joint,revolute,-1.4,0.19028284431251,-0.0249999999999993,-1.57079632679489,-0.901244854643899,0,base_link,0,0,1,10,0.5,-3.14,3.14,,,,,,,,
upper_structure_link,-0.495628171385806,0.199231627180777,0.507919121385117,0,0,0,6481.92731251916,3995.91515775081,-1380.76403779697,-667.093108887211,7052.09739515952,-527.647337085614,9333.21578790062,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/upper_structure_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/upper_structure_link.STL,,Part4-1,Origin_upper_structure_joint,Axis_upper_structure_joint,upper_structure_joint,revolute,-0.280000000000001,0,0.57,0,0,0.0645666552236237,base_link,0,0,1,10,0.5,-3.14,3.14,,,,,,,,
arm_link_1,1.30385919507012,1.67494028826151,-6.44985624700389E-05,0,0,0,687.454885490208,330.483251699541,-355.1523551969,0.0570624481781721,515.103747246251,0.0326818043979901,826.227075500151,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/arm_link_1.STL,,Part1-1,Origin_arm_joint_1,Axis_arm_joint_1,arm_joint_1,revolute,0.41575847322771,-0.199499999999765,0.501797993289546,1.5707963267949,0,0,upper_structure_link,0,0,-1,10,0.5,-1.57,1.57,,,,,,,,
arm_link_2,-0.0977328960560095,-0.877040000984263,0.0497820736270529,0,0,0,343.538558289812,137.01766228365,7.20856006745739,-1.19462546095406E-05,9.52875791066767,4.86316846619594E-05,141.153966113379,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/arm_link_2.STL,,Part2-1;Bucket_1-2;Terracore_1-1;Bucket_1-1,Origin_arm_joint_2,Axis_arm_joint_2,arm_joint_2,revolute,3.48115241901566,2.69101799242997,0.0499467148909045,-3.14159265358977,0,-2.58347296707543,arm_link_1,0,0,1,10,0.5,-1.57,1.57,,,,,,,,
terracore_link_1,0.163319368242993,-0.0734336809083698,-0.0466967148909148,0,0,0,70.6489303229103,2.41917612831426,-0.113666699504327,1.34336985979644E-14,3.36293017702126,1.11022302462516E-15,2.9227540447987,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/terracore_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/terracore_link_1.STL,,Terracore_2-1,Origin_terracore_joint_1,Axis_terracore_joint_1,terracore_joint_1,revolute,-0.00732659914483857,-2.69580811750572,0,-3.14159265358977,0,-2.95088405645385,arm_link_2,0,0,1,10,0.5,-1.57,1.57,,,,,,,,
terracore_link_2,-8.0579416561477E-07,0.127815290972917,-6.41948365576184E-08,0,0,0,14.5393171563633,1.21442921377524,1.86379944251518E-06,-3.21005307335476E-08,0.0740910012945118,3.85524672012749E-08,1.17157376611303,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/terracore_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/terracore_link_2.STL,,Terracore_3-1,Origin_terracore_joint_2,Axis_terracore_joint_2,terracore_joint_2,prismatic,0.34,-0.05,-0.046697,-3.1416,0,-3.1416,terracore_link_1,0,1,0,10,0.5,-0.35,0.05,,,,,,,,
terracore_link_3,0.0428273785511304,-0.129445543518196,-0.0713558049426748,0,0,0,27.9646671520689,0.123832790404504,0.00161840901818255,0.00248958926004198,3.13327763134743,-0.0122120828432704,3.20208095781915,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/terracore_link_3.STL,1,0.964705882352941,0.654901960784314,1,0,0,0,0,0,0,package://excavator_03.SLDASM/meshes/terracore_link_3.STL,,Terracore_4-1;Terracore_5_2-1;Terracore_5-2,Origin_terracore_joint_3,Axis_terracore_joint_3,terracore_joint_3,revolute,0.0499999999999847,-0.282002441572214,0,-1.57079632679348,-1.53015106159802,1.57079632679343,terracore_link_2,0,0,1,10,0.5,-1.57,1.57,,,,,,,,
